news_source,is_title,text,topic,date,link,medium,labels
BBC News,1,US relaxes mask guidance for fully vaccinated Americans,corona,2021-05-14T01:25:11+0000,https://l.facebook.com/l.php?u=https%3A%2F%2Fbbc.in%2F3ocTVAU&h=AT0ZYMlu9VIV2hcQZZPHOu27Y5QOo-sPPhv7FM0Qi2FHF0miZM4sWryXnDZchm3ssjZ9gFOHRJhNups9qINlH74IczC3jIuo-Gt6MP1yDj_hZEpCaD22tObusdjGPy69h8qd3XO6pf0238v1Dt0I&s=1,fb_post,0.4162454903125763
Metro,0,Of course he has...,crime,2021-06-16T00:00:24+0000,https://l.facebook.com/l.php?u=https%3A%2F%2Fmetro.co.uk%2F2021%2F06%2F15%2Fjoe-exotic-launches-cannabis-line-from-jail-because-why-not-14777994%2F%3Fito%3Dfacebook%7Csocial%7Cmetroukfacebook&h=AT3wzd_OeDXFqjeuKNaI6SjSLgV3PPhlZtIeJjTtOeduYSJ78tPVeMkb_Bgt0rwpUZ0zScxL5uP3SIJw-q5KWhzlTJnjHaeBWdbK02WtbAQFt13LaVhSTnh12iIzZo33Z91Hgc5fS85T9fk3h37b&s=1,fb_post,0.9666666666666667
Sky News,1,"Roberts Buncis murder: Boy who lured friend, 12, to woodland, stabbed him more than 70 times and tried to decapitate him is jailed for at least 16 years",crime,2021-11-08T14:05:26+0000,https://l.facebook.com/l.php?u=https%3A%2F%2Fnews.sky.com%2Fstory%2Froberts-buncis-boy-jailed-for-murder-after-luring-12-year-old-friend-to-woodland-and-stabbing-him-more-than-70-times-12463981&h=AT1KlmBbu_NWi9Me4sUAmP3Ur0sFM_mgcVxHhEbrcuKbCXeEE_s9mabJptLEvoWnxD2yA6SZ6_8Ly_TxtK-dzmOBVdqMd4IP0VXCB_xbtLdyvnBAH259HwYlaqdf80-GXUwLf-Qvri_W0HRA0m-n&s=1,fb_post,0.1477111876010894
Daily Mail,0,The churchgoing doctor has been accused of murdering her two-year-old twins and their sister,corona,2021-09-18T06:08:02+0000,https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.dailymail.co.uk%2Fnews%2Farticle-10003291%2FDoctor-40-charged-murdering-three-girls-remanded-secure-mental-health-unit.html&h=AT1_uF0sOLv-cDfQV7EajKHm1i9uWjrcczk2tNjPxqlQrp22v-g2Czlb_Bd_YaKt2aIXqQCyC-zUnhGvVqWbatozbpTzRjkavD8dcOpi4tLVnKXZM2pa61QAdqCmpU6XxSIdOar43ApL4KUIYKIu&s=1,fb_post,0.1344380378723144
Daily Mail,0,"'At this time, there have been no changes to scheduled future sailings on Norwegian Breakaway.",corona,2021-12-05T07:34:27+0000,https://www.dailymail.co.uk/news/article-10276697/COVID-cases-Norwegian-Cruise-ship-returning-New-Orleans.html?ito=social-facebook,article,0.4741570651531219
Sky News,0,"Ms Griffin said: ""Gracie was a beautiful girl at just 23 years old she had already touched so many people's life and what gorgeous memories she leaves behind.",crime,2021-06-19T23:13:00+0000,https://news.sky.com/story/bodies-of-man-and-woman-found-in-fields-near-derbyshire-village-12336545,article,0.6896570324897766
Sky News,0,Boris Johnson has rejected the opportunity to explain if any parties took place at Downing Street last year when coronavirus restrictions were in place as Labour urged the country's most senior civil servant to investigate what happened,corona,2021-12-02T22:00:02+0000,https://l.facebook.com/l.php?u=https%3A%2F%2Fnews.sky.com%2Fstory%2Fcovid-19-boris-johnson-rejects-chance-to-address-no-10-christmas-party-allegations-as-labour-call-for-investigation-into-the-matter-12484691&h=AT0Pgtzkj7uIuh9oczeLc3Pj2PQctfSzD1tjlL9aFQwnsUXGtin8FLKqy-iaJW-dJS9sO768of5DV9iuX426YrtWLfdPFrl1y2IJuvzHPI3NONcRsszi7eBXU1rTN1RFOTI8IIHEZ6XoEQHgoO7-&s=1,fb_post,0.323939561843872
Metro,0,Prosecutors also maintain that there was no evidence that Ahmaud had committed crimes in the defendant’s neighborhood.,crime,2021-11-24T18:56:00+0000,https://metro.co.uk/2021/11/24/ahmaud-arbery-trial-verdict-three-white-men-found-guilty-of-murder-15653122/,article,0.3857012093067169
BBC News,1,Could mRNA make us superhuman?,corona,2021-12-05T08:06:06+0000,https://l.facebook.com/l.php?u=https%3A%2F%2Fbbc.in%2F30Uk28P&h=AT24TsKw6wpy3vt5dnghPkPnFPqS8vucA3zIlzA_oWqpWQD7liSuhT3U2KJeWX5JJx17xRL2_xPeHLw70t6ithXpqcFPnB8j85Pc7WO_ZVu2vS2cGMI3emKKYqk1_HVnMwYRyQWVq6x4Qqsn0hmv&s=1,fb_post,0.7072426676750183
Sky News,1,Not enough to 'salvage the summer': business leaders say travel changes too cautious,corona,2021-06-24T21:30:08+0000,https://l.facebook.com/l.php?u=https%3A%2F%2Fnews.sky.com%2Fstory%2Fnot-enough-to-salvage-the-summer-business-leaders-say-travel-changes-too-cautious-12341006&h=AT156U-c7O_reuw4N-PwNYNXl04glZJ1dLCmdPfQMuHwjE7oLDV-FogUFh_98Y0VmTqFio8qQp5B8nNDzg11xRicreger7o49c3z0QgraRbtbR3Lg8VXCpcaa4QTbd0l2w1W0hs9WNadl6tks8pL&s=1,fb_post,0.6714489459991455
Daily Mail,0,"Also starting from Monday, people must have a normal Green health pass - which can be obtained with a negative test result - to access  local public transport and stay in hotels.",corona,2021-12-06T09:41:25+0000,https://www.dailymail.co.uk/news/article-10279341/Italy-begins-lockdown-unvaccinated-double-jabbed-able-participate-public-life.html?ito=social-facebook,article,0.2220117747783661
Sky News,0,Latest on #COVID19: https://trib.al/9OfzkOO,corona,2021-12-01T17:34:51+0000,https://www.facebook.com/skynews/videos/637189520627760/,fb_post,0.4120016694068908
Sky News,1,COVID-19: Ireland's Co Waterford has one of the highest vaccination rates in the world - so why are cases surging?,corona,2021-11-06T17:30:00+0000,https://l.facebook.com/l.php?u=https%3A%2F%2Fnews.sky.com%2Fstory%2Fcovid-19-irelands-co-waterford-has-one-of-the-highest-vaccination-rates-in-the-world-so-why-are-cases-surging-12461642&h=AT1PA0nFhCI820vTdj4VjBjFDchDfOPzMqwBmJrSnZFKXPasngxu065sJTUb5VQDe9Hof6e3Lti0tO8X9yJepFeqylu1BjtUwnhei0eQp-d9kL8AZ9Wo7kANHy73z2pMECFLeds6oTxG5zt1FwGu&s=1,fb_post,0.419036328792572
Sky News,1,COVID-19: Defence secretary and top UK military commanders self-isolating after armed forces chief tests positive for coronavirus,corona,2021-06-28T12:00:46+0000,https://l.facebook.com/l.php?u=https%3A%2F%2Fnews.sky.com%2Fstory%2Fcovid-19-defence-secretary-and-top-uk-military-commanders-self-isolating-after-armed-forces-chief-tests-positive-for-coronavirus-12343671%3Fdcmp%3Dsnt-sf-twitter&h=AT2z6p9FB1Q7UEorHziFM_9ipYjNKWb5fOHZsmS4-EfMqtht9CQ_KOXAnJAJzil2frQmAe-pNXuvvOMP8Qzd9JIyLBMmwTUb9sMubPPzv9Zg198DnNEQ_Zp0UgKovsHvd0_w6UWYwZpIQ88ePkIR&s=1,fb_post,0.1902155429124832
Daily Mail,0,A pre-print published in the country found the variant was at least two-and-a-half times better at re-infecting people than all other variants.,corona,2021-12-05T07:34:27+0000,https://www.dailymail.co.uk/news/article-10276697/COVID-cases-Norwegian-Cruise-ship-returning-New-Orleans.html?ito=social-facebook,article,0.3148649930953979
BBC News,1,Heathrow Airport to open terminal for 'red list' arrivals,corona,2021-05-21T18:01:26+0000,https://l.facebook.com/l.php?u=https%3A%2F%2Fbbc.in%2F3f9DjqW&h=AT3AD-_OGUUh5Oy7PMqzCbRvbK8MfnKehp1IhXAhISBaxzwa0xYILAu7Fuo2CJH2UfeT-M68xfCYH7UtMXOg3Gg_UEgQN2zg2NGLlWRQk2jkmVFyqM8xBu-6LpKWvKXScLRO3E-tptydo2SeYdgy&s=1,fb_post,0.231520339846611
BBC News,1,Afghanistan drone strike: 'Ten people died here -  including my daughter',crime,2021-08-31T15:33:03+0000,https://www.facebook.com/bbcnews/videos/2186528551653856/,fb_post,0.1887696683406829
BBC News,0,"Darell Meekcom criticised the ""heavy"" response after he was forced to the ground during his arrest.",crime,2021-11-10T10:59:17+0000,https://l.facebook.com/l.php?u=https%3A%2F%2Fbbc.in%2F3wy5uXR&h=AT1-OaceSUnIIJF5QCH1lMUefzu_lwiO5Tj0M77i4tP9XSvfxKx3-YSxgKXasPOb9dDBN7FmTCsEg-KVF55P5mZE2utbSUctD9gpK2kk2MUxEu9lmez2xyRvnhPHyj1qy_d23LHGxqxQQTgVPoly&s=1,fb_post,0.5290178656578064
BBC News,0,Tustin bombarded Hughes with messages complaining of the child's behaviour as his condition worsened.,crime,2021-12-02T16:17:30+0000,https://www.bbc.com/news/uk-england-birmingham-59400890,article,0.5005428194999695
BBC News,1,Germany bans unvaccinated people from shops and bars,corona,2021-12-02T14:33:50+0000,https://l.facebook.com/l.php?u=https%3A%2F%2Fbbc.in%2F3xKBfxa&h=AT2grOYGnmY1dqdW8qDZrlvaWYnR9J8fPJyBlUKBNqAGeUs6ShQPnNErHpdJLFBzf7IuaQrFmm8Tu3EqVJKQKYIOke0A70nww0Tf6rTxTyKC_CABY06juBLqROpiyXrfCCvfMYyenQjhF5lPHXCZ&s=1,fb_post,0.266251266002655
Sky News,0,"The owner of a care home in Kent, which lost half of its residents to COVID-19, said Channel 4's newly-released drama Help shows ""the panic, helplessness, fear and desperation"" of care homes during the pandemic",corona,2021-09-25T07:30:01+0000,https://l.facebook.com/l.php?u=https%3A%2F%2Fnews.sky.com%2Fstory%2Fkent-care-home-which-lost-50-of-residents-to-covid-advised-on-channel-4-drama-to-show-reality-of-what-we-faced-12417118&h=AT1sC1whX5hM1rq-I2wY3EwdV2rvu5w9WXbt-y-sUCaLYw__iZyY0H3xiyyn0MgJYzWw_sVwUgzLBmL5jEMPg6CIY800kPBIL8pz3hrdw4CjxZ3eSDltVzathps8qD-a0R2Sr-5bU-GB2v0471a8&s=1,fb_post,0.5208348035812378
BBC News,1,Duchess of Cambridge gets first Covid vaccine dose,corona,2021-05-29T18:29:11+0000,https://l.facebook.com/l.php?u=https%3A%2F%2Fbbc.in%2F34vPpo5&h=AT0gFlUxYuN1DKumMr0TU8TBVRcVXm2Ii5PQHb1y9-JfCNuQkWPWQ0C0aY289iSxmA0M8kqvQ5DMPVJ4V5DtWw2mj6CqNmU90E0HKw3_PlFuRny5YOHDA6z8ADY-GcpMApJaXj-MJgNppIkqatHP&s=1,fb_post,0.2058272659778595
Sky News,1,COVID-19: Gene that doubles risk of respiratory failure from COVID identified by Oxford University scientists,corona,2021-11-04T17:45:01+0000,https://l.facebook.com/l.php?u=https%3A%2F%2Fnews.sky.com%2Fstory%2Fcovid-19-gene-that-doubles-risk-of-death-from-covid-identified-by-oxford-university-scientists-12459684&h=AT2FsfYPkbHQGS_Q2DupJ_y9wN3hNCibQQQ1vMufrwLhRJlMwVfYWtsrxycmtmQvxiSM2_zx1lfbF8VTS2tbU__pPI3qcW22WsuYwLGWVNKjOERN52UTaHh7l4Orm3ViEv5aUW5XOvS7eUcvY84J&s=1,fb_post,0.2049726545810699
Metro,0,Numerous reports were made between October 2018 and June 2019 but police were unable to identify a suspect until the owner of one of his victims turned sleuth.,crime,2021-06-22T18:28:00+0000,https://metro.co.uk/2021/06/22/man-who-stabbed-16-cats-in-brighton-was-finally-caught-on-cctv-court-hears-14813371/?ito=facebook|social|metroukfacebook,article,0.2667142152786255
Metro,0,‘It was a very extreme reflection of the times.,crime,2021-03-23T24:15:00+0000,https://metro.co.uk/2021/03/23/majority-of-unsolved-murders-across-uk-involve-female-victims-14286904/?ito=facebook|social|metroukfacebook,article,0.876567542552948
Daily Mail,0,"However, he stressed it is impossible to prove at the moment.",corona,2020-12-22T16:24:36+0000,https://www.dailymail.co.uk/news/article-9079493/Britains-daily-Covid-cases-DOUBLE-week-36-804-infections.html?ito=social-facebook,article,0.6773762702941895
Metro,1,Michigan High School shooter's parents on the run following criminal charges,crime,2021-12-03T20:40:29+0000,https://l.facebook.com/l.php?u=https%3A%2F%2Fmetro.co.uk%2F2021%2F12%2F03%2Fmichigan-school-shooters-parents-on-the-run-after-criminal-charges-15714208%2F%3Fito%3Dfacebook%7Csocial%7Cmetroukfacebook&h=AT0GHiYQ-Fr5qUDAW-B_nwsIbEt-8qQ5p6zEdT_NMeded53SVop-UWY4SLVMSa4sz1hydWT8t_e6RFhfeeXE-thU9isgEF2vmT11T9oX_6ShttYRcDpi8ZRE7Aiz5V1aN68keZwadewg_DAuxFUy&s=1,fb_post,0.1581086218357086
Sky News,1,"COVID-19: UK spending on travel and eating out hit post-pandemic high during half-term, data shows",corona,2021-06-10T14:30:27+0000,https://l.facebook.com/l.php?u=https%3A%2F%2Fnews.sky.com%2Fstory%2Fcovid-19-economy-sees-half-term-spending-spike-and-hospitality-job-ads-surge-12329267&h=AT0-2KgY3Xgzi_Sma742qZxfSbEjy4zd_kjqhDeUBTOVWTk8cHmYNOpJGmogL48cCIKJ4u0zkiiPiM4EVhZsUHFWzNEKjG1QNZ3vjqcTv7y8g_w3NhGh_5PYetB146DwwEbBVALBPlvs0D9_ANDI&s=1,fb_post,0.2876845300197601
BBC News,0,We've fact-checked some of the statements he made.,corona,2021-03-26T11:00:45+0000,https://l.facebook.com/l.php?u=https%3A%2F%2Fbbc.in%2F31hjt5t&h=AT3SRjgoSr6GNefHeGtetrMV8SCW9iK5tWmFEkyWl3xjgxkKg4FpTyu42sRyM3gXw7sobpmodqeQKsIr7f4FmRA3w-Vkto0Tz1DxQzF_vx9jd4Mclf2zgMZPrbvQt2MJl2n4rdC-hdyoafQYgYzt&s=1,fb_post,0.5283483266830444
Metro,0,Not the news we wanted,corona,2021-12-06T08:47:54+0000,https://l.facebook.com/l.php?u=https%3A%2F%2Fmetro.co.uk%2F2021%2F12%2F06%2Fcovid-dame-sarah-gilbert-says-next-pandemic-could-be-worse-15721651%2F%3Fito%3Dfacebook%7Csocial%7Cmetroukfacebook&h=AT1d41EL-54NO2DhsIYY4129ZEo4Gk-ob2zgv1QkVJemZ47BLXcDCL07l2NPsAcUbdRFEzozAVhsSVVa_QiqJRc7Cioc4bg0pw6Uee6z3CV2kGVYFbAezD8TwRsw4Y8Wd7h_WQlISJghagr9z_QX&s=1,fb_post,0.8596691489219666
Metro,0,"‘He was shy, quiet and spent much of his time on his own but despite that he was a well-liked and polite young man and no one had an unkind word to say about him.",crime,2021-06-08T11:40:00+0000,https://metro.co.uk/2021/06/08/gunmen-jailed-for-shooting-autistic-man-dead-after-getting-wrong-house-14735611/?ito=facebook|social|metroukfacebook,article,0.7097801566123962
Sky News,1,"COVID-19: New vaccines 'ready in 100 days' if Omicron variant is resistant to current jabs, Pfizer says",corona,2021-11-27T09:00:03+0000,https://l.facebook.com/l.php?u=https%3A%2F%2Fnews.sky.com%2Fstory%2Fcovid-19-new-vaccines-ready-in-100-days-if-omicron-variant-is-resistant-to-current-jabs-pfizer-says-12479927&h=AT1IiFso88_Gf-RkuyAvFVok71zynOXB8wt-Il4GmVN7d8kXd_95w9952DWShVgt4dF8W0FIw1wD2YhAYwrK0uvyThfrZ60E53PHr1_kBhBclGLdX5JIS2_3IaZPF1hByfkG1ewYSmM-ZWkkIpT4&s=1,fb_post,0.3544722199440002
Sky News,0,BREAKING: Prime Minister Boris Johnson has received his second dose of the AstraZeneca #COVID19 vaccine,corona,2021-06-03T17:01:29+0000,https://l.facebook.com/l.php?u=https%3A%2F%2Fnews.sky.com%2Fstory%2Fcovid-19-boris-johnson-receives-second-dose-of-astrazeneca-coronavirus-vaccine-12324143&h=AT0AQM3oQwbcBHkNY1Al4CSDNzRr-RYuNrH5bUwgrkyeTcs8pxfSbZumae8d60RZF7O5LPUDB9YKLbibiztxGAAbyRRxD9NsgcHU0OxHhHrKK_azOmlXooTiifld_JW_5pe9cdj7b9Ju0OBplJO2&s=1,fb_post,0.1530475914478302
BBC News,0,"A government spokesperson said: ""The vaccination programme has significantly weakened the link between cases, hospitalisations and deaths, and will continue to be our first line of defence against Covid-19.",corona,2021-10-22T13:37:29+0000,https://www.bbc.com/news/health-58954793,article,0.372764527797699
Daily Mail,0,"This would be particularly significant in areas such as Eastern England, where it is 1.4, and both London and the South East, where it is 1.3.",corona,2020-12-22T16:24:36+0000,https://www.dailymail.co.uk/news/article-9079493/Britains-daily-Covid-cases-DOUBLE-week-36-804-infections.html?ito=social-facebook,article,0.5553047060966492
BBC News,1,Golfing champion Tiger Woods will not face criminal charges,crime,2021-02-25T11:59:40+0000,https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.bbc.co.uk%2Fnews%2Fworld-us-canada-56193243&h=AT3mJx8EFZp2d-2Gr_bxBgDEOpD1H7trBLjo8f6shs-DUDPTIzk7WGfs-33-wHp01Nu6gkYjJFzshRzs3m2Zpj8x5ZjRyFP7JKIiHffZEp4rmgk-ycVCqCnSNPrm5zXvRUIFoDx4RxXcneOWef7L&s=1,fb_post,0.1996679306030273
Metro,0,"‘You can’t claim self-defense if you are the unjustified aggressor,’ prosecutor Linda Dunikoski said.",crime,2021-11-24T18:56:00+0000,https://metro.co.uk/2021/11/24/ahmaud-arbery-trial-verdict-three-white-men-found-guilty-of-murder-15653122/,article,0.6176162362098694
Sky News,0,Boris Johnson has lit the Downing Street Christmas tree... second time lucky!🎄  ,corona,2021-12-01T17:34:51+0000,https://www.facebook.com/skynews/videos/637189520627760/,fb_post,0.7675821185112
Sky News,0,"The islands, which each have a population of less than 1,000 people, reportedly include Halki, Kastellorizo, Meganisi and Kythira",corona,2021-03-06T18:00:28+0000,https://l.facebook.com/l.php?u=https%3A%2F%2Fnews.sky.com%2Fstory%2Fgreece-invites-britons-to-start-booking-holidays-as-it-targets-40-islands-for-vaccinations-12237432%3Fdcmp%3Dsnt-sf-twitter&h=AT3tilv4ecpzqC3hsw-L5XHwrygV1A7VsD_ZHwTx2-aRXnWAY82YmCaf_u3jupRFPkb81baBp5IdRhqw8vFInF1BZ5rs0wYVPKoo3QtyVWYyMyFCZe2RQMSZsWimhnguikyg8yvYE1Z11uWGdne9&s=1,fb_post,0.2310335040092468
Daily Mail,0,"And so the fact that we've struggled to vaccinate health care workers and nursing home patients, that shows we need to be investing more in these efforts,' Gottlieb told CBS.",corona,2020-12-28T05:21:23+0000,https://www.dailymail.co.uk/news/article-9091917/Dr-Scott-Gottlieb-says-administering-20-million-COVID-vaccines-end-2020-unrealistic.html?ito=social-facebook,article,0.537929356098175
Metro,0,BREAKING,corona,2021-11-27T14:10:09+0000,https://l.facebook.com/l.php?u=https%3A%2F%2Fmetro.co.uk%2F2021%2F11%2F27%2Fcovid-uk-two-cases-of-omicron-variant-found-in-chelmsford-and-nottingham-15674987%2F%3Fito%3Dfacebook%7Csocial%7Cmetroukfacebook&h=AT2zgdsRv-udv3O4NhDKsK-hmbKAS3HJ7WckPxzoPvWDPeIo_UgK1pBTxMS19r4zwCoTWWpE4J3yPvlbgfImW5lCsASpcjN4p_Uq47nKnVUsxHnjewP-ACZYwsb2GJLmzVvpZCFVRr18s6L0yb2Q&s=1,fb_post,0.616446316242218
Sky News,1,COVID: Round UK cruise passengers can't dock in Scotland due to coronavirus restrictions,corona,2021-06-09T09:00:43+0000,https://l.facebook.com/l.php?u=https%3A%2F%2Fnews.sky.com%2Fstory%2Fcovid-round-uk-cruise-passengers-cant-dock-in-scotland-due-to-coronavirus-restrictions-12328137&h=AT2s5x28EdAnvvUM349A3NVQr7E3dd41NZyJyCSskLaxw0Q7--ZTBxsqjG7L6PRkWMftTtWXPEmt4pXq8vTK9mQNLGiTE5YFdR4g4JyWchQK9QGVFcAzMKFoZLoJXqQllW-t5x010hDVvIqCGgdP&s=1,fb_post,0.2706721723079681
Daily Mail,0,Will I be protected if I have a booster?,corona,2021-11-29T20:24:17+0000,https://www.dailymail.co.uk/health/article-10255315/South-Africa-province-Omicron-variant-detected-sees-330-surge-hospitalizations.html?ito=social-facebook,article,0.7498275637626648
Metro,1,"'Depraved' man, 30, who raped and murdered woman, 67, jailed for life",crime,2021-11-17T21:00:06+0000,https://l.facebook.com/l.php?u=https%3A%2F%2Fmetro.co.uk%2F2021%2F11%2F17%2Fdepraved-man-30-who-raped-and-murdered-woman-67-jailed-for-life-15616947%2F%3Fito%3Dfacebook%7Csocial%7Cmetroukfacebook&h=AT2KLBSMeOxFB0LYc3a0iCt_7kc_WNIKtWLPRJJhQ195-PWPrrkFeuBzriAA3Iz-6bfncbsuGrcFLSMWBbOPcRAaT1_DfY7sFfZFakNzNeKi8jNV2hePAYuaatqQEz8NgAtbyO4u-37tYHsRaLku&s=1,fb_post,0.3719961941242218
Daily Mail,0,"Olivia King was killed when the gunman, whose name has not been released, opened fire in the supermarket in Collierville, Tennessee.",crime,2021-09-23T20:47:53+0100,https://www.dailymail.co.uk/news/article-10022601/Multiple-people-injured-mass-shooting-Kroger-store-Memphis.html?ito=social-facebook,article,0.1840874105691909
Sky News,0,Today's top stories: https://trib.al/ea2E9xe,corona,2021-02-27T11:45:00+0000,https://www.facebook.com/skynews/videos/207377017836938/,fb_post,0.4561830759048462
BBC News,0,"Here are the key moments from the trial of three white men who were convicted of murdering a black man, Ahmaud Arbery, while he was out jogging.",crime,2021-11-25T04:47:15+0000,https://www.facebook.com/bbcnews/videos/2873684789608332/,fb_post,0.3146913349628448
BBC News,1,Dutch sign up for test holiday on Greek island,corona,2021-03-25T18:55:32+0000,https://l.facebook.com/l.php?u=https%3A%2F%2Fbbc.in%2F2Pw47qR&h=AT0BTYz3f2kwIUh9NVL2tQ6UkJw3djCq9goiFd5Y1KOpkYJdS4RQ4_cKbYhNzdyQxjKGFqRXNk_QK9nPOwzwsmYQqC5bewK2j6q06jqS3V07FUhGj18wrtI8Q5HQfox5dSWetBU1zvuWTudQC951&s=1,fb_post,0.2747569680213928
BBC News,1,Air passengers have new variant in Netherlands,corona,2021-11-28T14:52:23+0000,https://l.facebook.com/l.php?u=https%3A%2F%2Fbbc.in%2F3lbNGNy&h=AT3DdD6yVjKtNUfZcWIXBOQ1g_d3217GfDyhJRDRrkhuP_LAQ_uZzHZ3CeHE1WqW7rh71pWMHKYJpiiSKl0tSHD9wN4h5c-HHuJlvEWEXrrngexCNREC9SqLikAdGzoOWdvqj5nx2ZHEKmYcJa09&s=1,fb_post,0.3241983950138092
BBC News,1,"Don't panic about Omicron variant, WHO says",corona,2021-12-04T01:01:49+0000,https://l.facebook.com/l.php?u=https%3A%2F%2Fbbc.in%2F3DsKT9e&h=AT3yxaKguOSipbHBnVFl_1VKbERx8t0QS55tobcjoL_Ulr2gMfFylk5TunMVZhlTffHMiV8-1akGLHZ3oHR8ps0_h5QoSYKcX4sxY8PvX9XLtLIWUouSPc0m1f9DlEGC-tMwKHz-9qfW2DWC3ZZr&s=1,fb_post,0.5314951539039612
Metro,0,Bouquet denies 16 counts of criminal damage and one count of possession of a knife.,crime,2021-06-22T18:28:00+0000,https://metro.co.uk/2021/06/22/man-who-stabbed-16-cats-in-brighton-was-finally-caught-on-cctv-court-hears-14813371/?ito=facebook|social|metroukfacebook,article,0.0888253897428512
