,news_source,is_title,text,topic,date,link,medium,labels
1117,Daily Mail,0,"Those south of the Narrabeen Bridge cannot leave the Northern Beaches but can welcome 10 visitors into their homes on Christmas Eve, Christmas Day and Boxing Day, including people from anywhere in NSW.",corona,2020-12-23T00:01:52+0000,https://www.dailymail.co.uk/news/article-9080871/New-South-Wales-records-eight-cases-Covid-19.html,article,0
7621,Daily Mail,0,Everyone on board will be tested for COVID-19 before leaving and will be provided with post-exposure and quarantine public health guidance by the U.S. Centers for Disease Control and Prevention.,corona,2021-12-05T07:34:27+0000,https://www.dailymail.co.uk/news/article-10276697/COVID-cases-Norwegian-Cruise-ship-returning-New-Orleans.html?ito=social-facebook,article,0
7555,Sky News,0,"It follows criticism by pilots of the ""ludicrously cautious"" travel restrictions which they say has caused the UK's aviation industry to be ""the hardest hit in Europe"".",corona,2021-06-20T21:59:00+0000,https://news.sky.com/story/covid-19-pilots-criticise-ludicrously-cautious-travel-rules-and-claim-uk-aviation-sector-is-now-hardest-hit-in-europe-12336758,article,1
2630,Sky News,0,It emerged during the trial that Arthur's mother had herself been jailed for stabbing her own partner to death in a drink and drug-fuelled rage.,crime,2021-12-03T13:28:00+0000,https://news.sky.com/story/arthur-labinjo-hughes-father-and-girlfriend-found-guilty-over-death-of-six-year-old-boy-12483772,article,0
1519,Daily Mail,0,Organisers are encouraging people to bring their own candles to light as they pay respects to Ms Nessa.,crime,2021-09-23T20:11:32+0100,https://www.dailymail.co.uk/news/article-10022515/Man-38-arrested-suspicion-murdering-Sabina-Nessa.html?ito=social-facebook,article,0
726,Daily Mail,0,"Business secretary Kwasi Kwarteng is understood to have held talks with Nadhim Zahawi, the vaccines minister, about how to speed up production in the UK - and reduce the risk of other nations disrupting the rollout.",corona,2021-03-20T22:01:11+0000,https://www.dailymail.co.uk/news/article-9384659/Merkel-Macron-set-illegal-EU-plan.html?ito=social-facebook,article,0
6296,Daily Mail,0,"Elaine, who was recalled to prison for battery and criminal damage, told the publication: 'Emma hadn't said anything about Arthur dying.",crime,2021-12-06T07:56:33+0000,https://www.dailymail.co.uk/news/article-10279255/Arthur-Labinjo-Hughes-stepmother-Emma-Tustin-poisoned-SALT-prison.html?ito=social-facebook,article,0
6120,Daily Mail,0,On Wednesday morning the premier had a three-hour 'crisis meeting' with health bosses and police chiefs to discuss which restrictions to impose on millions of residents.,corona,2020-12-23T00:01:52+0000,https://www.dailymail.co.uk/news/article-9080871/New-South-Wales-records-eight-cases-Covid-19.html,article,0
5673,Sky News,0,"""But it may well be a problem in those that are not well controlled, not on treatment, who have not started treatment yet.",corona,2021-11-29T09:04:00+0000,https://news.sky.com/story/covid-19-emergence-of-omicron-variant-could-be-down-to-reservoirs-of-virus-in-the-unvaccinated-and-immunosuppressed-12481188,article,1
7147,Daily Mail,0,"Two medical helicopters were in the area to evacuate victims, according to witnesses.",crime,2021-09-23T20:47:53+0100,https://www.dailymail.co.uk/news/article-10022601/Multiple-people-injured-mass-shooting-Kroger-store-Memphis.html?ito=social-facebook,article,0
4097,Daily Mail,1,"'In another lifetime, you would have been an outstanding lawyer': Judge COMPLIMENTS defendant, 32, convicted of murdering his girlfriend and disabled daughter, 9, after he represented himself at trial",crime,2021-06-22T23:18:21+0100,https://www.dailymail.co.uk/news/article-9713895/Florida-father-convicted-double-murder-decides-represents-instead-using-attorney.html,article,1
187,BBC News,0,"She branded the couple cold, calculating and wicked.",crime,2021-12-02T16:17:30+0000,https://www.bbc.com/news/uk-england-birmingham-59400890,article,1
1794,Daily Mail,0,"Please respect the family, as well as our wishes as we take our time to grieve and process this detrimental loss,' the band wrote.",corona,2021-12-03T18:55:47+0000,https://www.dailymail.co.uk/tvshowbiz/article-10272679/Americas-Got-Talent-musician-Jay-Jay-Phillips-dead-30-COVID-19.html?ito=social-facebook,article,1
6596,Daily Mail,0,Everybody that works with her loves her.,crime,2021-09-23T20:47:53+0100,https://www.dailymail.co.uk/news/article-10022601/Multiple-people-injured-mass-shooting-Kroger-store-Memphis.html?ito=social-facebook,article,1
4396,Metro,0,Each was viewed three times.,crime,2021-11-24T18:56:00+0000,https://metro.co.uk/2021/11/24/ahmaud-arbery-trial-verdict-three-white-men-found-guilty-of-murder-15653122/,article,0
1141,Daily Mail,0,One thing to note is that some of the 77 cases found by health officials last week were among vaccinated people - causing the alarm.,corona,2021-11-29T20:24:17+0000,https://www.dailymail.co.uk/health/article-10255315/South-Africa-province-Omicron-variant-detected-sees-330-surge-hospitalizations.html?ito=social-facebook,article,0
4346,Daily Mail,0,"The academics, who were behind the same gloomy warning of 4,000 daily deaths that spooked Number 10 into England's November shutdown, estimated the nation was hurtling towards fatality tolls seen during the darkest days of the first wave in April.",corona,2020-12-22T16:24:36+0000,https://www.dailymail.co.uk/news/article-9079493/Britains-daily-Covid-cases-DOUBLE-week-36-804-infections.html?ito=social-facebook,article,0
290,Sky News,0,He was airlifted to hospital by helicopter and is described as being in a serious condition.,crime,2021-11-21T14:22:00+0000,https://news.sky.com/story/france-pensioner-kills-bear-with-rifle-after-part-of-his-leg-torn-off-in-attack-12474409?dcmp=snt-sf-twitter,article,0
2810,Daily Mail,0,"From Monday,  smart phone applications that check people's health pass status will be updated and those who have merely tested negative in recent days for Covid will no longer be allowed into public events or public buildings.",corona,2021-12-06T09:41:25+0000,https://www.dailymail.co.uk/news/article-10279341/Italy-begins-lockdown-unvaccinated-double-jabbed-able-participate-public-life.html?ito=social-facebook,article,0
5065,Metro,0,The pair butted heads on yesterday’s Good Morning Britain over whether lockdown restrictions should be lifted on June 21.,corona,2021-06-08T09:48:00+0000,https://metro.co.uk/2021/06/08/richard-madeley-clashes-with-dr-hilary-again-over-lockdown-restrictions-14735113/?ito=facebook|social|metroukfacebook,article,0
7679,Daily Mail,0,"Tustin and Hughes starved the youngster, force-fed him salt-laden dishes and made him stand alone for more than 14 hours a day, in a degrading, punishing and hellish regime over the last painful months of his life.",crime,2021-12-04T23:05:24+0000,https://www.dailymail.co.uk/news/article-10275829/Stepmother-tortured-killed-Arthur-Labinjo-Hughes-NEVER-mentioned-cellmate-says.html?ito=social-facebook,article,1
150,Daily Mail,0,"The head of Israel's pandemic response taskforce, Nachman Ash, told public radio the requirement came after four straight days of more than 100 new cases per day, with 227 cases confirmed on Thursday.",corona,2021-06-25T16:59:01+0100,https://www.dailymail.co.uk/news/article-9725863/Israel-reimposes-indoor-mask-rule-amid-surge-Covid-cases-despite-successful-vaccine-rollout.html?ito=social-facebook,article,0
2584,Metro,0,A man has been charged with the murder of a mother-of-two from Kent who went missing two weeks ago.,crime,2021-11-29T10:20:00+0000,https://metro.co.uk/2021/11/29/alexandra-morgan-man-40-charged-with-murder-of-missing-mum-of-two-15680871/?ito=facebook%7Csocial%7Cmetroukfacebook,article,0
7085,Daily Mail,0,"In appearance on CNN’s State of the Union, Fauci was asked by host Dana Bash whether he agrees with President-elect Joe Biden that the darkest days of the pandemic lie ahead.",corona,2020-12-28T05:21:23+0000,https://www.dailymail.co.uk/news/article-9091917/Dr-Scott-Gottlieb-says-administering-20-million-COVID-vaccines-end-2020-unrealistic.html?ito=social-facebook,article,0
1331,Daily Mail,0,"Multiple ambulances, five fire engines, a helicopter and more than 60 first-responders rushed to the scene near San Diego City College where on a typical weekday morning it is a busy area with students walking by.",crime,2021-03-15T17:21:14+0000,https://www.dailymail.co.uk/news/article-9364619/Multiple-people-injured-car-drove-group-pedestrians-San-Diego.html?ito=social-facebook,article,0
5964,Daily Mail,0,"One locally acquired case, reported on Tuesday but included in Wednesday's numbers, is a contact of an infected western Sydney healthcare worker involved in patient transport.",corona,2020-12-23T00:01:52+0000,https://www.dailymail.co.uk/news/article-9080871/New-South-Wales-records-eight-cases-Covid-19.html,article,0
3905,Sky News,0,"Jurors also convicted Tustin of two counts of child cruelty, including salt-poisoning and withholding food and drink from Arthur.",crime,2021-12-03T13:28:00+0000,https://news.sky.com/story/arthur-labinjo-hughes-father-and-girlfriend-found-guilty-over-death-of-six-year-old-boy-12483772,article,0
7406,Sky News,0,"This includes more than 3,100 in the last week of September, and more than 4,450 the week before, according to latest NHS Test and Trace data.",corona,2021-10-28T18:11:00+0000,https://news.sky.com/story/covid-19-all-countries-to-be-removed-from-governments-travel-red-list-12453412,article,0
2327,Metro,0,"He went on to say how he had his ‘own passport’, referring to his birth certificate and the U.S. Constitution, that he said ‘allowed him to travel wherever he wanted without trouble.’",corona,2021-09-18T18:20:00+0000,https://metro.co.uk/2021/09/18/alabama-married-anti-vaccine-youtubers-die-of-covid-weeks-apart-15279579/?ito=facebook|social|metroukfacebook,article,0
6608,BBC News,0,"The town has about 25,000 inhabitants.",crime,2021-06-17T15:20:32+0000,https://www.bbc.com/news/world-europe-57510812,article,0
5478,Metro,0,"Along with Westminster (49.9%), it is one of just two local authority areas in England where a majority of people still haven’t had two doses.",corona,2021-09-09T17:36:00+0000,https://metro.co.uk/2021/09/09/london-englands-11-least-vaccinated-areas-are-all-in-the-capital-15234057/?ito=facebook|social|metroukfacebook,article,0
6156,Metro,0,"Sabina’s uncle, Shahin Miah, described his niece as ‘a kind and a open-minded person’, who was ‘always smiling and helping others’.",crime,2021-09-25T16:24:00+0000,https://metro.co.uk/2021/09/25/sabina-nessa-murder-book-of-condolences-opened-in-memory-teacher-15316148/?ito=facebook|social|metroukfacebook,article,1
4361,Metro,0,‘Sometimes owners … found that their cats were still alive and were able to take timely action to try and save them by rushing them to their vets.’,crime,2021-06-22T18:28:00+0000,https://metro.co.uk/2021/06/22/man-who-stabbed-16-cats-in-brighton-was-finally-caught-on-cctv-court-hears-14813371/?ito=facebook|social|metroukfacebook,article,1
4650,Daily Mail,0,Sabina had moved into the newly built Kidbroke Village last summer.,crime,2021-09-23T20:11:32+0100,https://www.dailymail.co.uk/news/article-10022515/Man-38-arrested-suspicion-murdering-Sabina-Nessa.html?ito=social-facebook,article,0
6168,Metro,0,It comes as new figures estimate over 90 per cent of people aged 50 and over had received both doses of a vaccine by June 13.,corona,2021-06-18T08:50:00+0000,https://metro.co.uk/2021/06/18/restrictions-could-end-on-july-5-if-covid-vaccine-success-continues-14792359/?ito=facebook|social|metroukfacebook,article,0
6774,BBC News,0,"France's vaccination drive has been relatively slow to get off the ground, partly due to delayed supplies of the Oxford-AstraZeneca vaccine and confusion surrounding the safety of the inoculation.",corona,2021-03-23T18:23:50+0000,https://www.bbc.com/news/world-europe-56486732,article,0
508,Metro,0,"Sheffield called Ahmaud’s death a tragedy, but one that was his own fault.",crime,2021-11-24T18:56:00+0000,https://metro.co.uk/2021/11/24/ahmaud-arbery-trial-verdict-three-white-men-found-guilty-of-murder-15653122/,article,1
6847,Daily Mail,0,"'This is the most horrific event to happen in Collierville history,' Collierville Chief of Police Dale Lane said afterward.",crime,2021-09-23T20:47:53+0100,https://www.dailymail.co.uk/news/article-10022601/Multiple-people-injured-mass-shooting-Kroger-store-Memphis.html?ito=social-facebook,article,1
6558,Daily Mail,0,Ameen #SabinaNessa'.,crime,2021-09-23T20:11:32+0100,https://www.dailymail.co.uk/news/article-10022515/Man-38-arrested-suspicion-murdering-Sabina-Nessa.html?ito=social-facebook,article,1
4292,Metro,0,"He described the wounds as ‘penetrative and clean’, and caused by a sharp article such as a knife.",crime,2021-06-22T18:28:00+0000,https://metro.co.uk/2021/06/22/man-who-stabbed-16-cats-in-brighton-was-finally-caught-on-cctv-court-hears-14813371/?ito=facebook|social|metroukfacebook,article,1
3237,Daily Mail,0,"'We're going to get the answers that everybody out there needs,' WHO emergencies director Michael Ryan said Friday.",corona,2021-12-05T07:34:27+0000,https://www.dailymail.co.uk/news/article-10276697/COVID-cases-Norwegian-Cruise-ship-returning-New-Orleans.html?ito=social-facebook,article,0
4792,Metro,0,Ricardo is also offering Metro Readers £1 off using the code ‘Metro’ – you just need to apply the code during checkout.,corona,2021-03-11T14:31:00+0000,https://metro.co.uk/2021/03/11/man-writes-kids-book-about-lockdown-in-fathers-memory-to-aid-nhs-14214957/?ito=facebook|social|metroukfacebook,article,0
3684,Daily Mail,0,The housemate of murdered primary school teacher Sabina Nessa has said she 'doesn't feel safe' living in the area after investigating detectives earlier warned the killer 'could strike again'.,crime,2021-09-23T20:11:32+0100,https://www.dailymail.co.uk/news/article-10022515/Man-38-arrested-suspicion-murdering-Sabina-Nessa.html?ito=social-facebook,article,1
6331,Daily Mail,0,"After famously winning a Super Bowl with the Bears at the end of the 1985 season, Richardson was named a second-team All-Pro in 1986.",crime,2020-12-31T16:53:08+0000,https://www.dailymail.co.uk/news/article-9102581/Former-Bears-star-Michael-Richardson-59-arrested-charged-second-degree-murder.html?ito=social-facebook,article,0
649,Daily Mail,0,"The U.S. Centers for Disease Control and Prevention issued a no-sail order in March 2020, prompting a standstill that ended last June as cruise ships began to leave U.S. ports with new health and safety requirements.",corona,2021-12-05T07:34:27+0000,https://www.dailymail.co.uk/news/article-10276697/COVID-cases-Norwegian-Cruise-ship-returning-New-Orleans.html?ito=social-facebook,article,0
2124,Daily Mail,0,"On Monday, the young woman suffered organ failure and died without ever regaining consciousness.",corona,2021-09-23T19:27:23+0100,https://www.dailymail.co.uk/news/article-10022063/Woman-20-dies-COVID-Idaho-hospital.html?ito=social-facebook,article,0
7290,Daily Mail,0,'A new variant that may spread very rapidly can dent confidence.',corona,2021-12-05T07:34:27+0000,https://www.dailymail.co.uk/news/article-10276697/COVID-cases-Norwegian-Cruise-ship-returning-New-Orleans.html?ito=social-facebook,article,1
6504,BBC News,0,"Just a few months later, he was gaunt, malnourished and too weak to hold a glass of water Mr Jarman had smuggled him.",crime,2021-12-02T16:17:30+0000,https://www.bbc.com/news/uk-england-birmingham-59400890,article,1
5806,Daily Mail,0,"The variant has over 50 mutations, with 30 being on the spike protein, more than any other detected Covid variant.",corona,2021-11-29T20:24:17+0000,https://www.dailymail.co.uk/health/article-10255315/South-Africa-province-Omicron-variant-detected-sees-330-surge-hospitalizations.html?ito=social-facebook,article,0
4626,Sky News,0,"Matt Hancock has warned the government has to ""keep this country safe"" ahead of revealing which countries will be moved onto the green list - or taken off it.",corona,2021-06-03T13:47:00+0000,https://news.sky.com/story/covid-19-holiday-hopes-and-fears-as-green-list-review-to-be-released-12323695,article,1
5386,Metro,0,Claudia Lawrence went missing after failing to turn up to work at the University of York in March 2009.,crime,2021-03-23T24:15:00+0000,https://metro.co.uk/2021/03/23/majority-of-unsolved-murders-across-uk-involve-female-victims-14286904/?ito=facebook|social|metroukfacebook,article,0
5547,Metro,0,"Lily was raced to hospital on the afternoon of November 19, 2017 after collapsing while in Sadler’s care.",crime,2021-03-26T14:00:00+0000,https://metro.co.uk/2021/03/26/babysitter-who-murdered-toddler-by-beating-and-shaking-her-is-jailed-14310109/?ito=facebook|social|metroukfacebook,article,0
6593,BBC News,0,"It is thought his family identified the body, although a police spokesperson said they are still doing ""basic verification"" to make sure the deceased is indeed Wanjala, according to Reuters news agency.",crime,2021-10-15T13:09:37+0000,https://www.bbc.com/news/world-africa-58923592,article,0
1901,Sky News,0,"Mr Javid said there are now 261 Omicron variant cases in England, 71 in Scotland and four in Wales - a total of 336.",corona,2021-12-06T22:52:00+0000,https://news.sky.com/story/covid-19-community-transmission-of-omicron-variant-across-several-regions-of-england-says-sajid-javid-12488521,article,0
3231,BBC News,0,"These two charts show us the effect of the removal of restrictions and the rise of the Delta variant on the one hand in driving up cases, and the vaccination programme on the other in pushing down admissions.",corona,2021-10-22T13:37:29+0000,https://www.bbc.com/news/health-58954793,article,0
7101,Metro,0,"They have yet to be named by the authorities, but Waki Jones, who worked with the family through his Lancaster day care service, told the Los Angeles Times that the two eldest children were Amaya, 12, and Demarcus, 9.",crime,2021-11-30T11:53:00+0000,https://metro.co.uk/2021/11/30/california-dad-arrested-after-four-children-and-grandma-are-shot-dead-15687465/?ito=facebook|social|metroukfacebook,article,0
7313,BBC News,0,"But in the video, the masked man alleges that the vigilante groups are in fact drug traffickers themselves and extort money from the local population.",crime,2021-08-10T15:16:33+0000,https://www.bbc.com/news/world-latin-america-58153732,article,0
3146,Metro,0,The boy’s death was one of a number of water-related tragedies this week as temperatures reached their hottest all year.,crime,2021-06-04T24:26:00+0000,https://metro.co.uk/2021/06/04/somercotes-toddler-dies-after-being-found-unresponsive-in-paddling-pool-14716019/?ito=facebook|social|metroukfacebook,article,0
1259,Sky News,0,"""This includes cases with no links to international travel so we can conclude there is now community transmission across multiple regions of England,"" he told the Commons.",corona,2021-12-06T22:52:00+0000,https://news.sky.com/story/covid-19-community-transmission-of-omicron-variant-across-several-regions-of-england-says-sajid-javid-12488521,article,0
658,BBC News,0,"While what happened to Arthur is rare, the NSPCC has raised concerns about the risks to children during lockdown.",crime,2021-12-02T16:17:30+0000,https://www.bbc.com/news/uk-england-birmingham-59400890,article,1
119,Daily Mail,0,Oneal even made a comment saying that he deserved a death penalty on June 8.,crime,2021-06-22T23:18:21+0100,https://www.dailymail.co.uk/news/article-9713895/Florida-father-convicted-double-murder-decides-represents-instead-using-attorney.html,article,0
4531,Daily Mail,0,"The outbreak of Omicron in the province of Gauteng in South Africa, where it surfaced, has triggered the sharpest rise in hospitalizations of any previous wave.",corona,2021-12-05T07:34:27+0000,https://www.dailymail.co.uk/news/article-10276697/COVID-cases-Norwegian-Cruise-ship-returning-New-Orleans.html?ito=social-facebook,article,0
6582,Metro,0,He added: ‘These defendants were responsible for planning and executing the shooting or seeking revenge for the death of their friend but in the end achieving nothing more than adding to the capital’s murder statistics last year.’,crime,2021-06-08T11:40:00+0000,https://metro.co.uk/2021/06/08/gunmen-jailed-for-shooting-autistic-man-dead-after-getting-wrong-house-14735611/?ito=facebook|social|metroukfacebook,article,0
5115,BBC News,0,"Severely underweight at the time of his murder, he was a hungry boy who would not eat because the food he was given was inedible.",crime,2021-12-02T16:17:30+0000,https://www.bbc.com/news/uk-england-birmingham-59400890,article,0
